group,registry,test,host_code,core_x,core_y,in0_reads,in1_reads
load_imbalance_random,4,3,Naive,0,0,132,132
load_imbalance_random,4,3,Naive,0,1,132,132
load_imbalance_random,4,3,Naive,0,2,128,128
load_imbalance_random,4,3,Naive,0,3,132,132
load_imbalance_random,4,3,Naive,0,4,128,128
load_imbalance_random,4,3,Naive,0,5,128,128
load_imbalance_random,4,3,Naive,0,6,124,124
load_imbalance_random,4,3,Naive,0,7,120,120
load_imbalance_random,4,3,Naive,1,0,132,132
load_imbalance_random,4,3,Naive,1,1,132,132
load_imbalance_random,4,3,Naive,1,2,128,128
load_imbalance_random,4,3,Naive,1,3,132,132
load_imbalance_random,4,3,Naive,1,4,128,128
load_imbalance_random,4,3,Naive,1,5,128,128
load_imbalance_random,4,3,Naive,1,6,124,124
load_imbalance_random,4,3,Naive,1,7,120,120
load_imbalance_random,4,3,Naive,2,0,132,132
load_imbalance_random,4,3,Naive,2,1,132,132
load_imbalance_random,4,3,Naive,2,2,128,128
load_imbalance_random,4,3,Naive,2,3,132,132
load_imbalance_random,4,3,Naive,2,4,128,128
load_imbalance_random,4,3,Naive,2,5,128,128
load_imbalance_random,4,3,Naive,2,6,124,124
load_imbalance_random,4,3,Naive,2,7,120,120
load_imbalance_random,4,3,Naive,3,0,132,132
load_imbalance_random,4,3,Naive,3,1,132,132
load_imbalance_random,4,3,Naive,3,2,128,128
load_imbalance_random,4,3,Naive,3,3,132,132
load_imbalance_random,4,3,Naive,3,4,128,128
load_imbalance_random,4,3,Naive,3,5,128,128
load_imbalance_random,4,3,Naive,3,6,124,124
load_imbalance_random,4,3,Naive,3,7,120,120
load_imbalance_random,4,3,Naive,4,0,132,132
load_imbalance_random,4,3,Naive,4,1,132,132
load_imbalance_random,4,3,Naive,4,2,128,128
load_imbalance_random,4,3,Naive,4,3,132,132
load_imbalance_random,4,3,Naive,4,4,128,128
load_imbalance_random,4,3,Naive,4,5,128,128
load_imbalance_random,4,3,Naive,4,6,124,124
load_imbalance_random,4,3,Naive,4,7,120,120
load_imbalance_random,4,3,Naive,5,0,132,132
load_imbalance_random,4,3,Naive,5,1,132,132
load_imbalance_random,4,3,Naive,5,2,128,128
load_imbalance_random,4,3,Naive,5,3,132,132
load_imbalance_random,4,3,Naive,5,4,128,128
load_imbalance_random,4,3,Naive,5,5,128,128
load_imbalance_random,4,3,Naive,5,6,124,124
load_imbalance_random,4,3,Naive,5,7,120,120
load_imbalance_random,4,3,Naive,6,0,132,132
load_imbalance_random,4,3,Naive,6,1,132,132
load_imbalance_random,4,3,Naive,6,2,128,128
load_imbalance_random,4,3,Naive,6,3,132,132
load_imbalance_random,4,3,Naive,6,4,128,128
load_imbalance_random,4,3,Naive,6,5,128,128
load_imbalance_random,4,3,Naive,6,6,124,124
load_imbalance_random,4,3,Naive,6,7,120,120
load_imbalance_random,4,3,Naive,7,0,132,132
load_imbalance_random,4,3,Naive,7,1,132,132
load_imbalance_random,4,3,Naive,7,2,128,128
load_imbalance_random,4,3,Naive,7,3,132,132
load_imbalance_random,4,3,Naive,7,4,128,128
load_imbalance_random,4,3,Naive,7,5,128,128
load_imbalance_random,4,3,Naive,7,6,124,124
load_imbalance_random,4,3,Naive,7,7,120,120
load_imbalance_random,4,3,Naive_no_lb,0,0,112,112
load_imbalance_random,4,3,Naive_no_lb,0,1,124,124
load_imbalance_random,4,3,Naive_no_lb,0,2,140,140
load_imbalance_random,4,3,Naive_no_lb,0,3,132,132
load_imbalance_random,4,3,Naive_no_lb,0,4,112,112
load_imbalance_random,4,3,Naive_no_lb,0,5,132,132
load_imbalance_random,4,3,Naive_no_lb,0,6,128,128
load_imbalance_random,4,3,Naive_no_lb,0,7,144,144
load_imbalance_random,4,3,Naive_no_lb,1,0,112,112
load_imbalance_random,4,3,Naive_no_lb,1,1,124,124
load_imbalance_random,4,3,Naive_no_lb,1,2,140,140
load_imbalance_random,4,3,Naive_no_lb,1,3,132,132
load_imbalance_random,4,3,Naive_no_lb,1,4,112,112
load_imbalance_random,4,3,Naive_no_lb,1,5,132,132
load_imbalance_random,4,3,Naive_no_lb,1,6,128,128
load_imbalance_random,4,3,Naive_no_lb,1,7,144,144
load_imbalance_random,4,3,Naive_no_lb,2,0,112,112
load_imbalance_random,4,3,Naive_no_lb,2,1,124,124
load_imbalance_random,4,3,Naive_no_lb,2,2,140,140
load_imbalance_random,4,3,Naive_no_lb,2,3,132,132
load_imbalance_random,4,3,Naive_no_lb,2,4,112,112
load_imbalance_random,4,3,Naive_no_lb,2,5,132,132
load_imbalance_random,4,3,Naive_no_lb,2,6,128,128
load_imbalance_random,4,3,Naive_no_lb,2,7,144,144
load_imbalance_random,4,3,Naive_no_lb,3,0,112,112
load_imbalance_random,4,3,Naive_no_lb,3,1,124,124
load_imbalance_random,4,3,Naive_no_lb,3,2,140,140
load_imbalance_random,4,3,Naive_no_lb,3,3,132,132
load_imbalance_random,4,3,Naive_no_lb,3,4,112,112
load_imbalance_random,4,3,Naive_no_lb,3,5,132,132
load_imbalance_random,4,3,Naive_no_lb,3,6,128,128
load_imbalance_random,4,3,Naive_no_lb,3,7,144,144
load_imbalance_random,4,3,Naive_no_lb,4,0,112,112
load_imbalance_random,4,3,Naive_no_lb,4,1,124,124
load_imbalance_random,4,3,Naive_no_lb,4,2,140,140
load_imbalance_random,4,3,Naive_no_lb,4,3,132,132
load_imbalance_random,4,3,Naive_no_lb,4,4,112,112
load_imbalance_random,4,3,Naive_no_lb,4,5,132,132
load_imbalance_random,4,3,Naive_no_lb,4,6,128,128
load_imbalance_random,4,3,Naive_no_lb,4,7,144,144
load_imbalance_random,4,3,Naive_no_lb,5,0,112,112
load_imbalance_random,4,3,Naive_no_lb,5,1,124,124
load_imbalance_random,4,3,Naive_no_lb,5,2,140,140
load_imbalance_random,4,3,Naive_no_lb,5,3,132,132
load_imbalance_random,4,3,Naive_no_lb,5,4,112,112
load_imbalance_random,4,3,Naive_no_lb,5,5,132,132
load_imbalance_random,4,3,Naive_no_lb,5,6,128,128
load_imbalance_random,4,3,Naive_no_lb,5,7,144,144
load_imbalance_random,4,3,Naive_no_lb,6,0,112,112
load_imbalance_random,4,3,Naive_no_lb,6,1,124,124
load_imbalance_random,4,3,Naive_no_lb,6,2,140,140
load_imbalance_random,4,3,Naive_no_lb,6,3,132,132
load_imbalance_random,4,3,Naive_no_lb,6,4,112,112
load_imbalance_random,4,3,Naive_no_lb,6,5,132,132
load_imbalance_random,4,3,Naive_no_lb,6,6,128,128
load_imbalance_random,4,3,Naive_no_lb,6,7,144,144
load_imbalance_random,4,3,Naive_no_lb,7,0,112,112
load_imbalance_random,4,3,Naive_no_lb,7,1,124,124
load_imbalance_random,4,3,Naive_no_lb,7,2,140,140
load_imbalance_random,4,3,Naive_no_lb,7,3,132,132
load_imbalance_random,4,3,Naive_no_lb,7,4,112,112
load_imbalance_random,4,3,Naive_no_lb,7,5,132,132
load_imbalance_random,4,3,Naive_no_lb,7,6,128,128
load_imbalance_random,4,3,Naive_no_lb,7,7,144,144
load_imbalance_random,4,3,SnF,0,0,132,132
load_imbalance_random,4,3,SnF,0,1,132,132
load_imbalance_random,4,3,SnF,0,2,128,128
load_imbalance_random,4,3,SnF,0,3,132,132
load_imbalance_random,4,3,SnF,0,4,128,128
load_imbalance_random,4,3,SnF,0,5,128,128
load_imbalance_random,4,3,SnF,0,6,124,124
